Unnamed: 0.1,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
0,enjoying a beautiful day at the park!, Positive  ,2023-01-15 12:30:00,user123,twitter, #Nature #Park                            ,15.0,30.0,usa,2023,1,15,12
1,traffic was terrible this morning., Negative  ,2023-01-15 08:45:00,commuterx,twitter, #Traffic #Morning                        ,5.0,10.0,canada,2023,1,15,8
2,just finished an amazing workout! 💪, Positive  ,2023-01-15 15:45:00,fitnessfan,instagram, #Fitness #Workout                        ,20.0,40.0,usa,2023,1,15,15
3,excited about the upcoming weekend getaway!, Positive  ,2023-01-15 18:20:00,adventurex,facebook, #Travel #Adventure                       ,8.0,15.0,uk,2023,1,15,18
4,trying out a new recipe for dinner tonight., Neutral   ,2023-01-15 19:55:00,chefcook,instagram, #Cooking #Food                           ,12.0,25.0,australia,2023,1,15,19
5,feeling grateful for the little things in life., Positive  ,2023-01-16 09:10:00,gratitudenow,twitter, #Gratitude #PositiveVibes              ,25.0,50.0,india,2023,1,16,9
6,rainy days call for cozy blankets and hot cocoa., Positive  ,2023-01-16 14:45:00,rainydays,facebook, #RainyDays #Cozy                         ,10.0,20.0,canada,2023,1,16,14
7,the new movie release is a must-watch!, Positive  ,2023-01-16 19:30:00,moviebuff,instagram, #MovieNight #MustWatch                  ,15.0,30.0,usa,2023,1,16,19
8,political discussions heating up on the timeline., Negative  ,2023-01-17 08:00:00,debatetalk,twitter, #Politics #Debate                       ,30.0,60.0,usa,2023,1,17,8
9,missing summer vibes and beach days., Neutral   ,2023-01-17 12:20:00,beachlover,facebook, #Summer #BeachDays                      ,18.0,35.0,australia,2023,1,17,12
10,just published a new blog post. check it out!, Positive  ,2023-01-17 15:15:00,bloggerx,instagram, #Blogging #NewPost                      ,22.0,45.0,usa,2023,1,17,15
11,feeling a bit under the weather today., Negative  ,2023-01-18 10:30:00,wellnesscheck,twitter, #SickDay #Health                        ,7.0,15.0,canada,2023,1,18,10
12,exploring the city's hidden gems., Positive  ,2023-01-18 14:50:00,urbanexplorer,facebook, #CityExplore #HiddenGems                ,12.0,25.0,uk,2023,1,18,14
13,"new year, new fitness goals! 💪", Positive  ,2023-01-18 18:00:00,fitjourney,instagram, #NewYear #FitnessGoals                  ,28.0,55.0,usa,2023,1,18,18
14,technology is changing the way we live., Neutral   ,2023-01-19 09:45:00,techenthusiast,twitter, #Tech #Innovation                       ,15.0,30.0,india,2023,1,19,9
15,reflecting on the past and looking ahead., Positive  ,2023-01-19 13:20:00,reflections,facebook, #Reflection #Future                     ,20.0,40.0,usa,2023,1,19,13
16,just adopted a cute furry friend! 🐾, Positive  ,2023-01-19 17:10:00,petadopter,instagram, #PetAdoption #FurryFriend               ,15.0,30.0,canada,2023,1,19,17
17,late-night gaming session with friends., Positive  ,2023-01-20 00:05:00,gamerx,twitter, #Gaming #LateNight                      ,18.0,35.0,uk,2023,1,20,0
18,attending a virtual conference on ai., Neutral   ,2023-01-20 11:30:00,techconference,facebook, #AI #TechConference                     ,25.0,50.0,usa,2023,1,20,11
19,winter blues got me feeling low., Negative  ,2023-01-20 15:15:00,winterblues,instagram, #WinterBlues #Mood                      ,8.0,15.0,usa,2023,1,20,15
20,sipping coffee and enjoying a good book., Positive  ,2023-01-21 08:40:00,bookworm,twitter, #Reading #CoffeeTime                    ,22.0,45.0,india,2023,1,21,8
21,exploring the world of virtual reality., Positive  ,2023-01-21 13:20:00,vrexplorer,facebook, #VR #VirtualReality                     ,15.0,30.0,usa,2023,1,21,13
22,productive day ticking off my to-do list., Positive  ,2023-01-21 16:45:00,productivitypro,instagram, #Productivity #WorkFromHome           ,30.0,60.0,usa,2023,1,21,16
23,just finished a challenging workout routine., Positive  ,2023-01-22 09:15:00,fitnesswarrior,twitter, #Fitness #ChallengeAccepted             ,20.0,40.0,uk,2023,1,22,9
24,celebrating a milestone at work! 🎉, Positive  ,2023-01-22 14:30:00,careermilestone,facebook, #Career #Milestone                      ,12.0,25.0,canada,2023,1,22,14
25,sunday brunch with friends., Positive  ,2023-01-22 12:00:00,brunchbuddy,instagram, #Brunch #Friends                       ,15.0,30.0,uk,2023,1,22,12
27,learning a new language for personal growth., Positive  ,2023-01-23 16:20:00,languagelearner,facebook, #LanguageLearning #PersonalGrowth       ,25.0,50.0,india,2023,1,23,16
28,quiet evening with a good book., Positive  ,2023-01-23 19:45:00,booklover,instagram, #Reading #QuietTime                     ,15.0,30.0,australia,2023,1,23,19
29,reflecting on the importance of mental health., Positive  ,2023-01-24 11:30:00,mentalhealthmatters,twitter, #MentalHealth #SelfCare                 ,22.0,45.0,usa,2023,1,24,11
30,new painting in progress! 🎨, Positive  ,2023-01-24 15:00:00,artistinaction,facebook, #Art #PaintingInProgress             ,12.0,25.0,canada,2023,1,24,15
31,weekend road trip to explore scenic views., Positive  ,2023-01-24 17:30:00,roadtripper,instagram, #RoadTrip #ScenicViews                  ,18.0,35.0,uk,2023,1,24,17
32,enjoying a cup of tea and watching the sunset., Positive  ,2023-01-25 18:00:00,sunsetwatcher,twitter, #TeaTime #Sunset                       ,15.0,30.0,india,2023,1,25,18
33,coding a new project with enthusiasm., Positive  ,2023-01-25 13:15:00,codeenthusiast,facebook, #Coding #Enthusiasm                   ,30.0,60.0,usa,2023,1,25,13
34,feeling inspired after attending a workshop., Positive  ,2023-01-26 09:45:00,workshopattendee,instagram, #Inspiration #Workshop                  ,25.0,50.0,usa,2023,1,26,9
35,winter sports day at the local park., Positive  ,2023-01-26 14:20:00,wintersports,twitter, #WinterSports #Fun                     ,15.0,30.0,canada,2023,1,26,14
36,quality time with family this weekend., Positive  ,2023-01-26 17:40:00,familytime,facebook, #FamilyTime #Weekend                    ,22.0,45.0,uk,2023,1,26,17
37,attending a live music concert tonight., Positive  ,2023-01-27 20:00:00,musiclover,instagram, #Music #ConcertNight                  ,18.0,35.0,usa,2023,1,27,20
38,practicing mindfulness with meditation., Positive  ,2023-01-27 12:30:00,mindfulmoments,twitter, #Mindfulness #Meditation               ,15.0,30.0,india,2023,1,27,12
39,trying out a new dessert recipe., Positive  ,2023-01-27 16:10:00,dessertexplorer,facebook, #Dessert #Cooking                      ,12.0,25.0,canada,2023,1,27,16
40,excited about the upcoming gaming tournament., Positive  ,2023-01-28 09:00:00,gamingenthusiast,instagram, #Gaming #Tournament                     ,30.0,60.0,usa,2023,1,28,9
41,planning a garden makeover for spring., Positive  ,2023-01-28 14:45:00,gardenplanner,twitter, #Gardening #Spring                     ,25.0,50.0,usa,2023,1,28,14
42,celebrating a friend's birthday tonight! 🎂, Positive  ,2023-01-28 19:30:00,birthdaybash,facebook, #Birthday #Celebration                  ,15.0,30.0,uk,2023,1,28,19
43,feeling accomplished after a productive day., Positive  ,2023-01-29 17:00:00,productivitywin,instagram, #Accomplished #Success               ,22.0,45.0,india,2023,1,29,17
44,a cozy evening with a good movie., Positive  ,2023-01-29 20:20:00,movienight,twitter, #CozyNight #MovieTime                   ,18.0,35.0,canada,2023,1,29,20
45,exploring local art galleries this weekend., Positive  ,2023-01-30 11:30:00,artexplorer,facebook, #Art #GalleryExplore                    ,15.0,30.0,usa,2023,1,30,11
46,new book release from my favorite author!, Positive  ,2023-01-30 15:45:00,bookwormx,instagram, #BookRelease #FavoriteAuthor           ,12.0,25.0,uk,2023,1,30,15
